2 Corinthians 11:11	Wherefore? because I love you not? God knoweth.
2 Timothy 4:9	Do thy diligence to come shortly unto me:
2 Timothy 4:10	For Demas hath forsaken me, having loved this present world, and is departed unto Thessalonica; Crescens to Galatia, Titus unto Dalmatia.
2 Timothy 4:11	Only Luke is with me. Take Mark, and bring him with thee: for he is profitable to me for the ministry.
2 Timothy 4:12	And Tychicus have I sent to Ephesus.
2 Timothy 4:13	The cloke that I left at Troas with Carpus, when thou comest, bring with thee, and the books, but especially the parchments.
2 Timothy 4:14	Alexander the coppersmith did me much evil: the Lord reward him according to his works:
2 Timothy 4:15	Of whom be thou ware also; for he hath greatly withstood our words.
2 Timothy 4:16	At my first answer no man stood with me, but all men forsook me: I pray God that it may not be laid to their charge.
2 Timothy 4:17	Notwithstanding the Lord stood with me, and strengthened me; that by me the preaching might be fully known, and that all the Gentiles might hear: and I was delivered out of the mouth of the lion.
2 Timothy 4:18	And the Lord shall deliver me from every evil work, and will preserve me unto his heavenly kingdom: to whom be glory for ever and ever. Amen.
2 Timothy 4:19	Salute Prisca and Aquila, and the household of Onesiphorus.
2 Timothy 4:20	Erastus abode at Corinth: but Trophimus have I left at Miletum sick.
2 Timothy 4:21	Do thy diligence to come before winter. Eubulus greeteth thee, and Pudens, and Linus, and Claudia, and all the brethren.
2 Timothy 4:22	The Lord Jesus Christ be with thy spirit. Grace be with you. Amen.
Titus 1:1	Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;
Titus 1:2	In hope of eternal life, which God, that cannot lie, promised before the world began;
Titus 1:3	But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;
Titus 1:4	To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour.
Titus 1:5	For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:
Titus 1:6	If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.
Titus 1:7	For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;
Titus 1:8	But a lover of hospitality, a lover of good men, sober, just, holy, temperate;
Titus 1:9	Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers.
Titus 1:10	For there are many unruly and vain talkers and deceivers, specially they of the circumcision:
Titus 1:11	Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake.
Titus 1:12	One of themselves, even a prophet of their own, said, The Cretians are alway liars, evil beasts, slow bellies.
Titus 1:13	This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;
Titus 1:14	Not giving heed to Jewish fables, and commandments of men, that turn from the truth.
Titus 1:15	Unto the pure all things are pure: but unto them that are defiled and unbelieving is nothing pure; but even their mind and conscience is defiled.
Titus 1:16	They profess that they know God; but in works they deny him, being abominable, and disobedient, and unto every good work reprobate.
Titus 2:1	But speak thou the things which become sound doctrine:
Titus 2:2	That the aged men be sober, grave, temperate, sound in faith, in charity, in patience.
Titus 2:3	The aged women likewise, that they be in behaviour as becometh holiness, not false accusers, not given to much wine, teachers of good things;
Titus 2:4	That they may teach the young women to be sober, to love their husbands, to love their children,
Titus 2:5	To be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed.
Titus 2:6	Young men likewise exhort to be sober minded.
Titus 2:7	In all things shewing thyself a pattern of good works: in doctrine shewing uncorruptness, gravity, sincerity,
Titus 2:8	Sound speech, that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say of you.
Titus 2:9	Exhort servants to be obedient unto their own masters, and to please them well in all things; not answering again;
Titus 2:10	Not purloining, but shewing all good fidelity; that they may adorn the doctrine of God our Saviour in all things.
Titus 2:11	For the grace of God that bringeth salvation hath appeared to all men,
Titus 2:12	Teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world;
Titus 2:13	Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;
Titus 2:14	Who gave himself for us, that he might redeem us from all iniquity, and purify unto himself a peculiar people, zealous of good works.
Titus 2:15	These things speak, and exhort, and rebuke with all authority. Let no man despise thee.
Titus 3:1	Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work,
Titus 3:2	To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.
Titus 3:3	For we ourselves also were sometimes foolish, disobedient, deceived, serving divers lusts and pleasures, living in malice and envy, hateful, and hating one another.
Titus 3:4	But after that the kindness and love of God our Saviour toward man appeared,
Titus 3:5	Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost;
Titus 3:6	Which he shed on us abundantly through Jesus Christ our Saviour;
Titus 3:7	That being justified by his grace, we should be made heirs according to the hope of eternal life.
Titus 3:8	This is a faithful saying, and these things I will that thou affirm constantly, that they which have believed in God might be careful to maintain good works. These things are good and profitable unto men.
Titus 3:9	But avoid foolish questions, and genealogies, and contentions, and strivings about the law; for they are unprofitable and vain.
Titus 3:10	A man that is an heretick after the first and second admonition reject;
Titus 3:11	Knowing that he that is such is subverted, and sinneth, being condemned of himself.
Titus 3:12	When I shall send Artemas unto thee, or Tychicus, be diligent to come unto me to Nicopolis: for I have determined there to winter.
Titus 3:13	Bring Zenas the lawyer and Apollos on their journey diligently, that nothing be wanting unto them.
Titus 3:14	And let our's also learn to maintain good works for necessary uses, that they be not unfruitful.
Titus 3:15	All that are with me salute thee. Greet them that love us in the faith. Grace be with you all. Amen.
Philemon 1:1	Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer,
Philemon 1:2	And to our beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:
Philemon 1:3	Grace to you, and peace, from God our Father and the Lord Jesus Christ.
Philemon 1:4	I thank my God, making mention of thee always in my prayers,
Philemon 1:5	Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;
Philemon 1:6	That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.
Philemon 1:7	For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother.
Philemon 1:8	Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient,
Philemon 1:9	Yet for love's sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ.
Philemon 1:10	I beseech thee for my son Onesimus, whom I have begotten in my bonds:
Philemon 1:11	Which in time past was to thee unprofitable, but now profitable to thee and to me:
Philemon 1:12	Whom I have sent again: thou therefore receive him, that is, mine own bowels:
Philemon 1:13	Whom I would have retained with me, that in thy stead he might have ministered unto me in the bonds of the gospel:
Philemon 1:14	But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.
Philemon 1:15	For perhaps he therefore departed for a season, that thou shouldest receive him for ever;
Philemon 1:16	Not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto thee, both in the flesh, and in the Lord?
Philemon 1:17	If thou count me therefore a partner, receive him as myself.
Philemon 1:18	If he hath wronged thee, or oweth thee ought, put that on mine account;
Philemon 1:19	I Paul have written it with mine own hand, I will repay it: albeit I do not say to thee how thou owest unto me even thine own self besides.
Philemon 1:20	Yea, brother, let me have joy of thee in the Lord: refresh my bowels in the Lord.
Philemon 1:21	Having confidence in thy obedience I wrote unto thee, knowing that thou wilt also do more than I say.
Philemon 1:22	But withal prepare me also a lodging: for I trust that through your prayers I shall be given unto you.
Philemon 1:23	There salute thee Epaphras, my fellowprisoner in Christ Jesus;
Philemon 1:24	Marcus, Aristarchus, Demas, Lucas, my fellowlabourers.
Philemon 1:25	The grace of our Lord Jesus Christ be with your spirit. Amen.
Hebrews 1:1	God, who at sundry times and in divers manners spake in time past unto the fathers by the prophets,
Hebrews 1:2	Hath in these last days spoken unto us by his Son, whom he hath appointed heir of all things, by whom also he made the worlds;
Hebrews 1:3	Who being the brightness of his glory, and the express image of his person, and upholding all things by the word of his power, when he had by himself purged our sins, sat down on the right hand of the Majesty on high:
Hebrews 1:4	Being made so much better than the angels, as he hath by inheritance obtained a more excellent name than they.
Hebrews 1:5	For unto which of the angels said he at any time, Thou art my Son, this day have I begotten thee? And again, I will be to him a Father, and he shall be to me a Son?
Hebrews 1:6	And again, when he bringeth in the firstbegotten into the world, he saith, And let all the angels of God worship him.
Hebrews 1:7	And of the angels he saith, Who maketh his angels spirits, and his ministers a flame of fire.
Hebrews 1:8	But unto the Son he saith, Thy throne, O God, is for ever and ever: a sceptre of righteousness is the sceptre of thy kingdom.
Hebrews 1:9	Thou hast loved righteousness, and hated iniquity; therefore God, even thy God, hath anointed thee with the oil of gladness above thy fellows.
Hebrews 1:10	And, Thou, Lord, in the beginning hast laid the foundation of the earth; and the heavens are the works of thine hands:
Hebrews 1:11	They shall perish; but thou remainest; and they all shall wax old as doth a garment;
Hebrews 1:12	And as a vesture shalt thou fold them up, and they shall be changed: but thou art the same, and thy years shall not fail.
Hebrews 1:13	But to which of the angels said he at any time, Sit on my right hand, until I make thine enemies thy footstool?
Hebrews 1:14	Are they not all ministering spirits, sent forth to minister for them who shall be heirs of salvation?
Hebrews 2:1	Therefore we ought to give the more earnest heed to the things which we have heard, lest at any time we should let them slip.
Hebrews 2:2	For if the word spoken by angels was stedfast, and every transgression and disobedience received a just recompence of reward;
Hebrews 2:3	How shall we escape, if we neglect so great salvation; which at the first began to be spoken by the Lord, and was confirmed unto us by them that heard him;
Hebrews 2:4	God also bearing them witness, both with signs and wonders, and with divers miracles, and gifts of the Holy Ghost, according to his own will?
Hebrews 2:5	For unto the angels hath he not put in subjection the world to come, whereof we speak.
Hebrews 2:6	But one in a certain place testified, saying, What is man, that thou art mindful of him? or the son of man that thou visitest him?
Hebrews 2:7	Thou madest him a little lower than the angels; thou crownedst him with glory and honour, and didst set him over the works of thy hands:
Hebrews 2:8	Thou hast put all things in subjection under his feet. For in that he put all in subjection under him, he left nothing that is not put under him. But now we see not yet all things put under him.
Hebrews 2:9	But we see Jesus, who was made a little lower than the angels for the suffering of death, crowned with glory and honour; that he by the grace of God should taste death for every man.
Hebrews 2:10	For it became him, for whom are all things, and by whom are all things, in bringing many sons unto glory, to make the captain of their salvation perfect through sufferings.
Hebrews 2:11	For both he that sanctifieth and they who are sanctified are all of one: for which cause he is not ashamed to call them brethren,
Hebrews 2:12	Saying, I will declare thy name unto my brethren, in the midst of the church will I sing praise unto thee.
Hebrews 2:13	And again, I will put my trust in him. And again, Behold I and the children which God hath given me.
Hebrews 2:14	Forasmuch then as the children are partakers of flesh and blood, he also himself likewise took part of the same; that through death he might destroy him that had the power of death, that is, the devil;
Hebrews 2:15	And deliver them who through fear of death were all their lifetime subject to bondage.
Hebrews 2:16	For verily he took not on him the nature of angels; but he took on him the seed of Abraham.
Hebrews 2:17	Wherefore in all things it behoved him to be made like unto his brethren, that he might be a merciful and faithful high priest in things pertaining to God, to make reconciliation for the sins of the people.
Hebrews 2:18	For in that he himself hath suffered being tempted, he is able to succour them that are tempted.
Hebrews 3:1	Wherefore, holy brethren, partakers of the heavenly calling, consider the Apostle and High Priest of our profession, Christ Jesus;
Hebrews 3:2	Who was faithful to him that appointed him, as also Moses was faithful in all his house.
Hebrews 3:3	For this man was counted worthy of more glory than Moses, inasmuch as he who hath builded the house hath more honour than the house.
Hebrews 3:4	For every house is builded by some man; but he that built all things is God.
